Longitude,Latitude,Label
-166.52325,53.8755,Unalaska
-78.016667,33.916667,Southport
6.969167,4.711278,Port Harcourt
122.712472,11.601222,Port Capiz
8.75,41.916667,Port D
39.723806,64.556722,Severodvinsk
-162.00425,63.486611,St Michael
72.95,18.95,Jawaharlal Nehru Port (Nhava Shiva)
80.53125,73.4725,Port Dikson
-155.833333,20.033333,Kawaihae
119.454111,34.740389,Lianyungang
150.666667,-10.616667,Samarai
48.166667,29.066667,Mina Al Ahmadi
15.674167,68.184139,Tranoy
136.216667,34.066667,Owase
-81.5,31.15,Brunswick
149.3,-21.283333,Hay Point
23.622472,64.043361,Himanka
-68.806556,44.498028,Sandypoint
135.383333,34.7,Amagasaki
10.333333,42.816667,Portoferraio
-18.516667,65.983333,Dalvik
122.1,30,Zhoushan
-173.988,-18.650833,Neiafu
-71.6,10.633333,Maracaibo
-13.65675,65.149583,Neskaupstadur
9.37625,0.316667,Libreville
33.166667,28.95,Ras Badran Oil Terminal
-120.2,34.466667,Gaviota
30.636722,36.85625,Antalya
86.683333,20.266667,Paradip
-122.358889,47.605,Seattle
15.6,67.366667,Lakselv
167.733333,8.716667,Kwajalein
-57.010972,5.957972,Nieuw Nickerie
131.816667,34.033333,Tokuyama
-7.433333,43.7,San Ciprian
166.616667,19.283333,Wake Island
-6.615028,4.733778,San Pedro
10.399917,59.279583,Tonsberg
0.318278,51.472083,Tilbury
9.094889,39.212028,Cagliari
14.220778,32.697944,Khoms
132.883333,42.8,Nakhodka
-42.020417,-22.971694,Porto Do Forno
140.583333,42.116667,Mori
131.016667,33.783333,Kanda
-62.283333,-38.8,Puerto Nacional
-8.242528,43.472083,Ferrol
-74.25,11.15,Pozos Colorados
-65.705139,66.181056,Pangnirtung
156.85,-8.1,Gizo Harbor
18.081639,59.332083,Stockholm
103.477917,4.533333,Kirteh Oil Terminal
-52.268333,4.855444,Degrad Des Cannes
47.957917,29.995861,Umm Qasr
-43.166667,-22.9,Rio De Janeiro
138.7,35.133333,Tagonoura
-25.666667,37.733333,Ponta Delgada
129.15,37.533333,Tonghae
-14.023389,65.07875,Eskifjordhur
10.55,57.433333,Frederikshavn
73.816667,15.5,Panaji
10.65,35.833333,Sousse
-20.3,65.666667,Blonduos
-158.1,21.266667,Barbers Point Terminal
8.00075,58.1425,Kristiansand
99.9,9.2,Khanom
